Instancia, Vo, %dHeurPlanos, %dHeur, tHeur (seg) 
R0, 1742, 0, 1603.73, 0
R1, 4253, 0, 172.49, 0
R2, 5638, 0, 371.94, 0
R3, 18453, 0, 265.003, 0
R4, 17316, 0, 470.241, 0
R5, 398, 0, 3014.32, 0
R6, 12478, 0, 146.746, 0
R7, 9405, 0, 189.282, 0
R8, 14847, 0, 1338.36, 0
R9, 17405, 0, 963.93, 0
R10, 7125, 0, 1222.15, 0
R11, 1493, 0, 1112.73, 0
R12, 32453, 6.12886, 235.726, 0
R13, 30732, 0, 452.535, 0
R14, 27791, 0, 90.4393, 0
R15, 10533, 0, 86.3856, 0
R16, 4276, 6.43124, 245.229, 0
R17, 28462, 0, 238.764, 0
R18, 26873, 0, 259.074, 0
R19, 0, 0, 0, 0
